# CaseFolding-5.2.0.txt
# Date: 2009-05-28, 23:02:34 GMT [MD]
#
# Unicode Character Database
# Copyright (c) 1991-2009 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr44/
#
# ================================================================================
# This file has been reformatted into syntax for the gennorm2 Normalizer2 data
# generator tool.
# C and F mappings are marked as one-way mappings with '>' while
# S and T mappings are commented out.
# ================================================================================
#
# Case Folding Properties
#
# This file is a supplement to the UnicodeData file.
# It provides a case folding mapping generated from the Unicode Character Database.
# If all characters are mapped according to the full mapping below, then
# case differences (according to UnicodeData.txt and SpecialCasing.txt)
# are eliminated.
#
# The data supports both implementations that require simple case foldings
# (where string lengths don't change), and implementations that allow full case folding
# (where string lengths may grow). Note that where they can be supported, the
# full case foldings are superior: for example, they allow "MASSE" and "Maße" to match.
#
# All code points not listed in this file map to themselves.
#
# NOTE: case folding does not preserve normalization formats!
#
# For information on case folding, including how to have case folding 
# preserve normalization formats, see Section 3.13 Default Case Algorithms in
# The Unicode Standard, Version 5.0.
#
# ================================================================================
# Format
# ================================================================================
# The entries in this file are in the following machine-readable format:
#
# <code>; <status>; <mapping>; # <name>
#
# The status field is:
# C: common case folding, common mappings shared by both simple and full mappings.
# F: full case folding, mappings that cause strings to grow in length. Multiple characters are separated by spaces.
# S: simple case folding, mappings to single characters where different from F.
# T: special case for uppercase I and dotted uppercase I
#    - For non-Turkic languages, this mapping is normally not used.
#    - For Turkic languages (tr, az), this mapping can be used instead of the normal mapping for these characters.
#      Note that the Turkic mappings do not maintain canonical equivalence without additional processing.
#      See the discussions of case mapping in the Unicode Standard for more information.
#
# Usage:
#  A. To do a simple case folding, use the mappings with status C + S.
#  B. To do a full case folding, use the mappings with status C + F.
#
#    The mappings with status T can be used or omitted depending on the desired case-folding
#    behavior. (The default option is to exclude them.)
#
# =================================================================
0147>0148; # LATIN CAPITAL LETTER N WITH CARON
0149>02BC 006E; # LATIN SMALL LETTER N PRECEDED BY APOSTROPHE
014A>014B; # LATIN CAPITAL LETTER ENG
014C>014D; # LATIN CAPITAL LETTER O WITH MACRON
014E>014F; # LATIN CAPITAL LETTER O WITH BREVE
0150>0151; # LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
0152>0153; # LATIN CAPITAL LIGATURE OE
0154>0155; # LATIN CAPITAL LETTER R WITH ACUTE
0156>0157; # LATIN CAPITAL LETTER R WITH CEDILLA
0158>0159; # LATIN CAPITAL LETTER R WITH CARON
015A>015B; # LATIN CAPITAL LETTER S WITH ACUTE
015C>015D; # LATIN CAPITAL LETTER S WITH CIRCUMFLEX
015E>015F; # LATIN CAPITAL LETTER S WITH CEDILLA
0160>0161; # LATIN CAPITAL LETTER S WITH CARON
0162>0163; # LATIN CAPITAL LETTER T WITH CEDILLA
0164>0165; # LATIN CAPITAL LETTER T WITH CARON
0166>0167; # LATIN CAPITAL LETTER T WITH STROKE
0168>0169; # LATIN CAPITAL LETTER U WITH TILDE
016A>016B; # LATIN CAPITAL LETTER U WITH MACRON
016C>016D; # LATIN CAPITAL LETTER U WITH BREVE
016E>016F; # LATIN CAPITAL LETTER U WITH RING ABOVE
0170>0171; # LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
0172>0173; # LATIN CAPITAL LETTER U WITH OGONEK
0174>0175; # LATIN CAPITAL LETTER W WITH CIRCUMFLEX
0176>0177; # LATIN CAPITAL LETTER Y WITH CIRCUMFLEX
0178>00FF; # LATIN CAPITAL LETTER Y WITH DIAERESIS
0179>017A; # LATIN CAPITAL LETTER Z WITH ACUTE
017B>017C; # LATIN CAPITAL LETTER Z WITH DOT ABOVE
017D>017E; # LATIN CAPITAL LETTER Z WITH CARON
017F>0073; # LATIN SMALL LETTER LONG S
0181>0253; # LATIN CAPITAL LETTER B WITH HOOK
0182>0183; # LATIN CAPITAL LETTER B WITH TOPBAR
0184>0185; # LATIN CAPITAL LETTER TONE SIX
0186>0254; # LATIN CAPITAL LETTER OPEN O
0187>0188; # LATIN CAPITAL LETTER C WITH HOOK
0189>0256; # LATIN CAPITAL LETTER AFRICAN D
018A>0257; # LATIN CAPITAL LETTER D WITH HOOK
018B>018C; # LATIN CAPITAL LETTER D WITH TOPBAR
018E>01DD; # LATIN CAPITAL LETTER REVERSED E
018F>0259; # LATIN CAPITAL LETTER SCHWA
0190>025B; # LATIN CAPITAL LETTER OPEN E
0191>0192; # LATIN CAPITAL LETTER F WITH HOOK
0193>0260; # LATIN CAPITAL LETTER G WITH HOOK
0194>0263; # LATIN CAPITAL LETTER GAMMA
0196>0269; # LATIN CAPITAL LETTER IOTA
0197>0268; # LATIN CAPITAL LETTER I WITH STROKE
0198>0199; # LATIN CAPITAL LETTER K WITH HOOK
019C>026F; # LATIN CAPITAL LETTER TURNED M
019D>0272; # LATIN CAPITAL LETTER N WITH LEFT HOOK
019F>0275; # LATIN CAPITAL LETTER O WITH MIDDLE TILDE
01A0>01A1; # LATIN CAPITAL LETTER O WITH HORN
01A2>01A3; # LATIN CAPITAL LETTER OI
01A4>01A5; # LATIN CAPITAL LETTER P WITH HOOK
01A6>0280; # LATIN LETTER YR
01A7>01A8; # LATIN CAPITAL LETTER TONE TWO
