# GraphemeBreakProperty-6.1.0.txt
# Date: 2011-09-16, 21:06:23 GMT [MD]
#
# Unicode Character Database
# Copyright (c) 1991-2011 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr44/

# ================================================

# Property:	Grapheme_Cluster_Break

#  All code points not explicitly listed for Grapheme_Cluster_Break
#  have the value Other (XX).

# @missing: 0000..10FFFF; Other

# ================================================

000D          ; CR

# Total code points: 1

1B35          ; SpacingMark
1B3B          ; SpacingMark
1B3D..1B41    ; SpacingMark
1B43..1B44    ; SpacingMark
1B82          ; SpacingMark
1BA1          ; SpacingMark
1BA6..1BA7    ; SpacingMark
1BAA          ; SpacingMark
1BAC..1BAD    ; SpacingMark
1BE7          ; SpacingMark
1BEA..1BEC    ; SpacingMark
1BEE          ; SpacingMark
1BF2..1BF3    ; SpacingMark
1C24..1C2B    ; SpacingMark
1C34..1C35    ; SpacingMark
1CE1          ; SpacingMark
1CF2..1CF3    ; SpacingMark
A823..A824    ; SpacingMark
A827          ; SpacingMark
A880..A881    ; SpacingMark
A8B4..A8C3    ; SpacingMark
A952..A953    ; SpacingMark
A983          ; SpacingMark
A9B4..A9B5    ; SpacingMark
A9BA..A9BB    ; SpacingMark
A9BD..A9C0    ; SpacingMark
AA2F..AA30    ; SpacingMark
AA33..AA34    ; SpacingMark
AA4D          ; SpacingMark
AA7B          ; SpacingMark
AAEB          ; SpacingMark
AAEE..AAEF    ; SpacingMark
AAF5          ; SpacingMark
ABE3..ABE4    ; SpacingMark
ABE6..ABE7    ; SpacingMark
ABE9..ABEA    ; SpacingMark
ABEC          ; SpacingMark
11000         ; SpacingMark
11002         ; SpacingMark
11082         ; SpacingMark
110B0..110B2  ; SpacingMark
110B7..110B8  ; SpacingMark
1112C         ; SpacingMark
11182         ; SpacingMark
111B3..111B5  ; SpacingMark
111BF..111C0  ; SpacingMark
116AC         ; SpacingMark
116AE..116AF  ; SpacingMark
116B6         ; SpacingMark
16F51..16F7E  ; SpacingMark
1D166         ; SpacingMark
1D16D         ; SpacingMark

# Total code points: 339

# ================================================

1100..115F    ; L
A960..A97C    ; L

# Total code points: 125

# ================================================

1160..11A7    ; V
D7B0..D7C6    ; V

# Total code points: 95

# ================================================

11A8..11FF    ; T
D7CB..D7FB    ; T

# Total code points: 137

# ================================================

AC00          ; LV
AC1C          ; LV
AC38          ; LV
AC54          ; LV
AC70          ; LV
AC8C          ; LV
ACA8          ; LV
ACC4          ; LV
ACE0          ; LV
ACFC          ; LV
AD18          ; LV
AD34          ; LV
AD50          ; LV
AD6C          ; LV
AD88          ; LV
ADA4          ; LV
ADC0          ; LV
ADDC          ; LV
ADF8          ; LV
AE14          ; LV
AE30          ; LV
AE4C          ; LV
AE68          ; LV
AE84          ; LV
AEA0          ; LV
AEBC          ; LV
AED8          ; LV
AEF4          ; LV
AF10          ; LV
AF2C          ; LV
AF48          ; LV
AF64          ; LV
AF80          ; LV
AF9C          ; LV
AFB8          ; LV
AFD4          ; LV
AFF0          ; LV
B00C          ; LV
B028          ; LV
B044          ; LV
B060          ; LV
B07C          ; LV
B098          ; LV
B0B4          ; LV
B0D0          ; LV
B0EC          ; LV
B108          ; LV
B124          ; LV
B140          ; LV
B15C          ; LV
B178          ; LV
B194          ; LV
B1B0          ; LV
B1CC          ; LV
B1E8          ; LV
B204          ; LV
B220          ; LV
B23C          ; LV
B258          ; LV
B274          ; LV
B290          ; LV
B2AC          ; LV
B2C8          ; LV
B2E4          ; LV
B300          ; LV
B31C          ; LV
B338          ; LV
B354          ; LV
B370          ; LV
B38C          ; LV
B3A8          ; LV
B3C4          ; LV
B3E0          ; LV
B3FC          ; LV
B418          ; LV
B434          ; LV
B450          ; LV
B46C          ; LV
B488          ; LV
B4A4          ; LV
B4C0          ; LV
B4DC          ; LV
B4F8          ; LV
B514          ; LV
B530          ; LV
B54C          ; LV
B568          ; LV
B584          ; LV
B5A0          ; LV
B5BC          ; LV
B5D8          ; LV
B5F4          ; LV
B610          ; LV
B62C          ; LV
B648          ; LV
B664          ; LV
B680          ; LV
B69C          ; LV
B6B8          ; LV
